Title	Abstract	Journal	Date of Publication	Authors	PMID
Exploring the Therapeutic Potential of Oridonin in the Treatment of Laryngeal Cancer: A Comprehensive Strategy Involving Network Pharmacology, Molecular Docking, Dynamic Simulation, and Experimental Verification.	Laryngeal cancer (LC) is one of the most common malignant tumors of the head and neck, with high morbidity and mortality rates worldwide. Oridonin (Ori), a natural tetracyclic diterpenoid, exhibits notable anti-tumor properties. However, its efficacy and underlying mechanism in LC remain to be elucidated. This study employed comprehensive network pharmacology, molecular docking, and molecular dynamic simulation to investigate the molecular targets and mechanisms underlying the anti-LC effects of Ori, followed by in vitro validation of its key mechanisms. A total of 172 potential therapeutic targets of Ori for LC were identified. GO and KEGG analyses indicated that Ori's anti-LC mechanism primarily involved the PI3K-Akt, Ras, MAPK, and Rap1 signaling pathways. The PPI network and molecular docking analyses revealed that AKT1, EGFR, and MAPK1 are potential core targets of Ori. Additionally, molecular dynamics simulations and bioinformatics analyses further confirmed that these proteins are key candidate targets. In vitro, Ori inhibited the proliferation of LC Hep-2 and TU212 cells, induced apoptosis, arrested the cell cycle at the G1 phase, and suppressed migration and invasion. WB assays further showed that Ori significantly downregulated p-AKT expression in the PI3K/AKT pathway. These findings indicate that Ori represents a promising therapeutic candidate for LC.	Chemical biology & drug design	2026 Jan	['Zhang R', 'Ren L', 'Hou J', 'Yang C', 'Sun Y', 'Sun F', 'Yue B']	41525139
Quantitative vs Qualitative analysis of breast lesions on dynamic contrast-enhanced Magnetic Resonance Imaging.	BACKGROUND: Dynamic contrast enhancement-magnetic resonance imaging (DCE-MRI) is becoming increasingly significant for identifying and characterizing breast lesions. It can also provide insight into functional parameters, such as enhancement kinetics and tissue perfusion parameters, including Ktrans, Ve, and Kep. AIM: This study explores the role of both qualitative and quantitative analyses of DCE-MRI in enhancing diagnostic accuracy for distin-guishing between benign and malignant breast lesions, contributing to more precise breast cancer diagnosis and management. MATERIALS AND METHODS: This single-center cross-sectional study was performed on 47 patients with breast lesions. MRI Breast was performed on a closed 3T MRI scanner equipped with a dedicated 18-channel breast coil. MRI study protocol included conventional Breast MRI and DCE sequences. Statistical analysis was performed using the SPSS statistics software package version 28.0. RESULTS: A total of 47 patients, with an age range of 17 to 70 years old, were included in the study. The sensitivity of kinetic curve analysis was 94.74 %, specificity of 75%, positive predictive value of 72 %, and negative predictive value of 95.45 % to distinguish benign and mali-gnant breast lesions. The mean Ktrans value of benign breast lesions was 0.447+1.55/min and 0.496+1.08 / min (p-value <0.04) for malignant lesions. The mean Kep value of benign breast lesions was 2.984+8.27/ min, and for malignant lesions was 3.424+8.70/ min (p-value <0.008). The mean Ve value did not show a significant value in distinguishing benign and malignant breast lesions (p-value <0.386). Kep cut-off value at 0.279 and Ktrans cut-off value at 0.73 depicted the highest area under the curve (AUC). CONCLUSIONS: Integrating qualitative and quantitative data provides a more comprehensive understanding of breast lesions, ultimately leading to more accurate diagnoses and tailored treatment strategies.	La Clinica terapeutica	2026 Jan-Feb	['Kaur N', 'Kakkera S', 'Raj A', 'Verma M', 'Sandhu A', 'Patra A', 'Singh P']	41525116
Genetic Testing for All Breast Cancer Patients: The GET FACTS Randomized Clinical Trial.	IMPORTANCE: Increasing germline genetic testing rates may impact contralateral prophylactic mastectomy (CPM) rates in patients with newly diagnosed breast cancer. OBJECTIVE: To quantify the impact of a personalized contralateral breast cancer (CBC) risk counseling tool that incorporates genetic testing results. DESIGN, SETTING, AND PARTICIPANTS: This randomized clinical trial recruited participants from a single tertiary referral center between June 8, 2020, and December 31, 2022. Patients aged 18 to 80 years with unilateral breast cancer who underwent genetic counseling and surgery were eligible. Exclusion criteria were prior or metastatic breast cancer or prior multigene panel testing. Follow-up was completed June 30, 2023. INTERVENTION: Personalized age-specific CBC risks were estimated based on the presence or absence of pathogenic variants associated with breast cancer and were incorporated into a visual decision support tool. Patients were randomized 1:1 to quantitative counseling via the tool vs standard counseling without personalized CBC risk estimates. MAIN OUTCOMES AND MEASURES: Co-primary end points included patients' personal CBC risk knowledge and propensity to undergo CPM, before and after counseling, by randomization arm. The secondary end point was CPM rate. Sample size calculations assumed postcounseling CBC risk self-assessments would be 5% different from baseline (SD, 20%). A total of 199 patients in each arm would achieve 80% power and 5% type I error (based on a 2-sample t test). Univariate and multivariate analyses were performed for each end point. RESULTS: A total of 400 patients were randomized (mean [SD] age, 54 [11] years), and 54 were excluded after randomization, leaving 346 patients. Among 341 patients with data available, 21 (6.2%) were Asian or Pacific Islander, 18 (5.3%) were Black, 295 (86.5%) were White, and 7 (2.1%) were of other race; 33 of 330 patients with available data (10.0%) were of Ashkenazi Jewish ancestry. Seventy-five of 346 patients (21.7%) had a first-degree relative with breast cancer. Patients who received quantitative counseling more accurately reported their CBC risk estimates than those who received standard counseling by univariate (coefficient, -9.39; 95% CI, -14.86 to -3.93; P < .001) and multivariate (coefficient, -9.52; 95% CI, -16.50 to -2.51; P = .008) analyses. The type of counseling did not significantly impact perception of risk, self-reported propensity to undergo CPM, or CPM rates. CONCLUSIONS AND RELEVANCE: In this randomized clinical trial, patients more accurately described their calculated CBC risk after quantitative counseling. This improved knowledge did not impact decisions to undergo CPM. The CBC risk assessment tool is publicly available and can be used for preoperative discussions. TRIAL REGISTRATION: ClinicalTrials.gov Identifier: NCT04245176.	JAMA network open	2026 Jan 2	['Weiss A', 'Braun D', 'Stopfer J', 'Zhao J', 'McGrath M', 'Bradshaw KR', 'Rosito MS', 'Davis D', 'Garber JE', 'King TA']	41525075
A REtrospective Study to Describe the Real-World Treatment Landscape in Patients with Metastatic Castration-Resistant PROstate Cancer: REMPRO.	INTRODUCTION: Metastatic castration-resistant prostate cancer (mCRPC) presents significant treatment challenges. Although androgen deprivation therapy (ADT) has been the standard treatment for metastatic prostate cancer for over 80 years, its efficacy is often limited to the initial treatment phase for most patients. Recent clinical trials have investigated various therapeutic options for mCRPC; however, real-world evidence is essential for a comprehensive understanding of the current treatment landscape and to identify unmet clinical needs. METHODS: A multi-country, retrospective, non-interventional study was conducted across 31 centres in Latin America, the Middle East and Asia. Adults diagnosed with mCRPC between January 2016 and December 2018 were enrolled as the study subjects. Treatment patterns were thoroughly analysed, including those used when patients were at the metastatic castration-sensitive prostate cancer (mCSPC) and non-metastatic castration-resistant prostate cancer (nmCRPC) settings. RESULTS: Among 795 enrolled patients with mCRPC (most aged >/= 65 years), significant attrition was observed between treatment lines: approximately 50% of patients on first-line (1L) therapy advanced to second line (2L) but only 23.5% proceeded to third line (3L). New hormonal agent (NHA)-based therapies were the most prevalent choice for 1L and 2L, with post-chemotherapy NHA being the most common 1L-2L sequence. Disease progression, the primary reason for discontinuation across all regimens, occurred in > 60% of patients during mCRPC treatment. Generally, median real-world progression-free survival (rwPFS) decreased with each subsequent line of therapy. This study also highlights the inadequacy of prostate cancer screening in these regions. CONCLUSION: This study offers valuable insights into the current treatment landscape of patients with mCRPC in non-US and non-European settings within a real-world context. GOV ID: NCT04801186.	Advances in therapy	2026 Jan 12	['Manneh R', 'Hashem T', 'Young JJ', 'Joshi A', 'Bahadir S', 'Omar A', 'Eid S', 'Elsayes A', 'Gonzalez F', 'Elsayed M', 'Kantharaju P']	41525044
Pursuit of precision oncology in the treatment of metastatic hormone receptor-positive breast cancer: Making strides or barely moving?	No Abstract Available	CA: a cancer journal for clinicians	2026 Jan-Feb	['Schlam I', 'Dhakal A']	41525040
Survival Outcomes with Guideline-Concordant Pediatric-Inspired Regimens in Adolescent/Young Adult Acute Lymphoblastic Leukemia: Retrospective Real-World Analysis.	BACKGROUND: Pediatric-inspired regimens (PIR) yield excellent outcomes for acute lymphoblastic leukemia (ALL). Despite national guidelines recommending PIR for adolescents and young adults (AYAs; aged 15-39 years), the use of guideline-concordant PIR in AYAs is inconsistent across treatment settings. METHODS: This retrospective observational study compared overall survival (OS) and stem cell transplant (SCT) use among AYAs treated with PIR versus non-PIR. Using a deidentified, geographically representative USA health claims database, we analyzed a cohort of AYAs with newly diagnosed ALL between 1 July 2007 and 30 September 2020. RESULTS: Among 599 patients who met the inclusion criteria, 187 (31%) received PIR, 303 (51%) received non-PIR, and for 109 (18%), treatment was undetermined. PIR and non-PIR groups were propensity score matched (n = 187 each). Using Kaplan-Meier methodology, OS was significantly higher for those treated with PIR versus non-PIR (log-rank P = 0.0001; hazard ratio [HR], 0.31; 95% confidence interval [CI], 0.18-0.55). For PIR and non-PIR, 1-, 3-, and 5-year survival estimates (95% CI) were 98.1% (95.3-99.3%) versus 88.3% (83.5-91.7%); 88.5% (82.6-92.5%) versus 69.1% (62.1-75.1%); and 87.3% (81.0-91.6%) versus 63.3% (55.2-70.3%). Sensitivity and subgroup analyses were consistent with primary results. By Kaplan-Meier methodology, SCT use was significantly lower among AYAs treated with PIR than non-PIR (log-rank P = 0.0004; HR, 0.46; 95% CI 0.30-0.71); use by 2 years was 16.5% (12.2-22.2%) and 33.4% (27.6-40.0%), respectively. CONCLUSIONS: These results support the use of guideline-concordant PIR for AYA ALL.	Drugs - real world outcomes	2026 Jan 12	['Freyer DR', 'Zhu J', 'Roth ME', 'Wolfson JA', 'Meng Q', 'Agarwal R', 'Tang RS', 'Bhagnani T']	41525026
Targeting the PI3K/AKT/mTOR signaling pathway in prostate cancer: Molecular dysregulation, therapeutic advances, and future directions.	Prostate cancer (PCa) is among the most common malignancies and remains a leading cause of cancer-related mortality in men worldwide. One of the main drivers is the dysregulation of the downstream signalling machinery. The PI3K, AKT, and mTOR signalling pathways play a pivotal role in cellular sustenance, growth, metabolism, and proliferation. In prostate cancer this pathway is generally altered due to the mutation or deletion of the PTEN (phosphatase and tensin homolog) gene and unnecessary activities of some components of PI3K, AKT, or mTOR. Extracellular communication of the androgen receptor (AR) with a wide array of oncogenic signatures is a primary evasion mechanism of cancer therapy and metastasis. This review focuses on the structure and function of the PI3K/AKT/mTOR pathway to better understand its role in prostate tumor biology. Furthermore, current therapeutic strategies that combinatorically target individual components of this pathway, such as allosteric and ATP-competitive AKT inhibitors, isoform-selective PI3K inhibitors, first- and second-generation mTOR inhibitors, are under consideration. The study particularly focuses on the combined use of immunotherapy (checkpoint inhibitors), chemotherapy (docetaxel), and androgen deprivation therapy (ADT), which are designed to break through the resistance-generating mechanisms and increase clinical efficacy. Overall, the findings support the need to conduct comprehensive preclinical and clinical studies on these alternative treatment regimens, and the eventual goal is to develop new treatment options for prostate cancer. The evidence of the pathway-specific therapy approach for the treatment of prostate cancer in recent clinical trials still failed to give a conclusive result. The current discussion also investigates the emerging areas of focus and perfection of combination regimens. The combination of all these developments makes it clear that the PI3K/AKT/mTOR signalling pathway is a key strategic point for developing therapeutics.	Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society	2026 Jan 12	['Alobid S']	41525007
Current development and challenges of NK cell-based immunotherapy for gastrointestinal cancers.	Despite multimodal treatment options, most gastrointestinal (GI) cancers remain associated with high mortality rates and poor responsiveness to immunotherapy. The remarkable success of immune cell-based therapies in hematologic malignancies has raised interest in translating adoptive cell therapies to GI cancers. Among these approaches, natural killer (NK) cell-based therapies offer potent cytotoxicity, and a favorable safety profile. Multiple NK cell platforms are now under preclinical and clinical development, demonstrating encouraging therapeutic efficacy in GI malignancies. Nevertheless, challenges such as limited in vivo persistence, immunosuppressive tumor microenvironment (TME), and heterogeneous expression of NK cell therapy targeted antigens continue to limit therapeutic benefit. Recent advances are being explored to overcome these barriers and enhance NK cell persistence and specificity. This review summarizes recent progress in NK cell-based immunotherapy for GI cancers, highlights representative clinical trials, and discusses strategies to improve efficacy and durability. With continued innovation, NK cell-based therapy holds promise to become an essential component of the future immunotherapy landscape for GI malignancies.	International journal of clinical oncology	2026 Jan 12	['Zheng S', 'Morodomi Y', 'Yonemitsu Y']	41524997
Changing Perspectives in Managing Metastatic Gallbladder Cancer: Defining Oligometastatic Disease, Current Treatments, and Emerging Therapies.	BACKGROUND: Oligometastasisdisease (OMD) is an intermediate stage between localised disease and widespread metastasis. No standard OMD definition exists for gallbladder cancer (GBC). This review examines OMD definitions in GBC, treatment challenges, current strategies like systemic therapy, immunotherapy, surgery, loco-regional therapy, emerging approaches, and future directions for GBC patients with OMD. MATERIALS AND METHODS: A literature review of GBC and oligometastasiswas conducted using PubMed and Google Scholar through July 2025. RESULTS: Metastatic GBC has a poor prognosis; however, a combination of systemic and immunotherapy can slightly improve survival, ranging from 11.3 to 12.7 months. OMD is a subgroup of patients (with 1-3 liver metastases, para-aortic lymph nodes, metastasis limited to adherent omentum, and/or up to three peritoneal deposits) who experience better survival with consolidative treatment, including neoadjuvant therapy followed by curative resection (such as minor hepatectomy, para-aortic lymphadenectomy) and adjuvant therapy. Reported survival rates at 1, 3, and 5 years range from 20 to 64.0%, 5.7-17%, and 0-23%. Risk factors like extensive hepatic lobectomy and portal vein resection in cholestatic liver increase morbidity and mortality. Elevated preoperative tumour markers (CEA, CA 19 - 9) are associated with poorer survival. CONCLUSION: There is no standard definition of OMD in GBC. Our review emphasises the need to develop a standardised definition of OMD in GBC and for multidisciplinary evaluation and well-designed clinical trials to expand therapeutic options and to optimise patient outcomes.	Journal of gastrointestinal cancer	2026 Jan 12	['Kurdia KC', 'Coppola A', 'Delis S', 'R C', 'SheinMyint', 'Kapoor VK']	41524978
Propofol attenuates angiogenesis by activating endoplasmic reticulum stress to suppress TFAP2C-driven VEGFA transcription.	During anesthesia, significant hemodynamic changes often alter the vascular microenvironment and affecting endothelial cell behavior. Propofol, a commonly used intravenous anesthetic, has been widely studied for its role in tumor angiogenesis through tumor cell-derived VEGF-mediated endothelial interactions. However, its direct effects on endothelial cell-mediated angiogenesis in non-malignant diseases such as diabetic retinopathy, diabetic nephropathy, and coronary heart disease remain unclear. To address this gap, we examined the effects of propofol on VEGFA-mediated angiogenesis in vitro and in vivo. Mechanistically, propofol triggers endoplasmic reticulum stress by promoting phosphorylation of PERK and its downstream effector eIF2alpha, leading to suppressed translation of TFAP2C-a transcription factor critical for endothelial function. Further analysis revealed that TFAP2C directly binds to the VEGFA promoter to activate its transcription, thereby facilitating VEGFA/VEGFR2-dependent angiogenesis. Together, these findings not only broaden the understanding of propofol's pharmacological profile, but also identify TFAP2C as a novel transcriptional regulator of VEGFA, offering new perspectives for therapeutic targeting of VEGFA-mediated angiogenesis.	Apoptosis : an international journal on programmed cell death	2026 Jan 12	['Yang F', 'Liu Y', 'Li H', 'Shang X', 'Hua Q', 'Zhu Y', 'Tao B', 'Sun Z']	41524974
