Title	Abstract	Journal	Date of Publication	Authors	PMID
Changes in US Skilled Nursing Facility Capacity Following the COVID-19 Pandemic.	IMPORTANCE: Skilled nursing facilities (SNFs) are the primary provider of institutional postacute care. Following the COVID-19 pandemic, there have been reports of SNFs reducing their capacity, affecting access to care and disrupting hospital discharges, yet little empirical evidence exists. OBJECTIVE: To describe changes in SNF capacity after 2020 and assess whether changes were associated with staffing shortages and hospital discharge outcomes. DESIGN, SETTING, AND PARTICIPANTS: In this cross-sectional study, data from the 2018-2024 Centers for Medicare & Medicaid Services Payroll-Based Journal on patient censuses in US skilled nursing facilities were assessed. Descriptive analyses characterized trends in SNF capacity from 2018 to 2024. MAIN OUTCOMES AND MEASURES: Main outcomes were SNF licensed bed count and estimated operating capacity. Secondary outcomes included SNF staffing shortages, mean hospital length of stay, percentage of hospital admissions lasting 28 days or more, and the median distance traveled to admitting SNFs. County-level regression analyses examined the association between changes in SNF capacity and the frequency of SNF staffing shortages. Hospital-level regressions examined the association between changes in nearby SNF capacity and discharge outcomes. RESULTS: Among US skilled nursing facilities, the number of licensed SNF beds declined by 2.5% between 2019 and 2024, while operating capacity declined by 5.0% over the same time period. There was substantial geographic variation-1 in 4 counties experienced operating capacity declines of 15.1% or more, with the largest declines being more common among rural counties. SNF capacity declines were larger in counties with more frequent reports of SNF staffing shortages-a 1-percentage point decline in county SNF capacity was associated with a 0.20-percentage point (95% CI, 0.11-0.29) increase in the frequency of reported shortages. Additionally, hospitals that experienced larger declines in nearby SNF capacity experienced greater increases in mean length of stay, percentage of stays lasting 28 or more days, and median distance traveled to admitting SNFs. CONCLUSIONS AND RELEVANCE: Results of this study suggest that SNF operating capacity declined following the pandemic and these declines were larger than the observed declines in licensed SNF bed counts, potentially because of staffing shortages. Greater loss of SNF capacity was associated with longer hospital stays and increased travel distances to SNFs, suggesting that declines in operating capacity may be impairing access to care.	JAMA internal medicine	2026 Jan 12	['McGarry BE', 'Wilcock AD', 'Gandhi AD', 'Grabowski DC', 'Geng F', 'Barnett ML']	41525100
The US Food and Drug Administration's Regulation of Mifepristone.	IMPORTANCE: Mifepristone, used with misoprostol, is the most common abortion regimen in the US. It is also a focal point of reproductive health policy and politics, with controversy over its legal status and regulation by the US Food and Drug Administration (FDA). OBJECTIVE: To characterize the FDA's decision-making with respect to the regulation of mifepristone, with a particular interest in the agency's rationale for establishing, maintaining, or modifying key components of its regulatory approach over time. EVIDENCE REVIEW: Qualitative analysis of 5239 pages of FDA documents obtained through a Freedom of Information Act request, including sponsors' Risk Evaluation and Mitigation Strategy (REMS) assessment reports, FDA review of these reports, internal memos, and regulatory correspondence (2011-2023), supplemented by a review of publicly available information. Review focused on FDA justifications for implementing, maintaining, or modifying postapproval safety measures and the supporting evidence cited. FINDINGS: Five key moments in the FDA's regulation of mifepristone that have led to the current state of oversight were identified: (1) conversion to the REMS framework in June 2011; (2) reevaluation of REMS necessity in October 2013; (3) a sponsor-requested label change in May 2015; (4) the response to the COVID-19 pandemic in 2020 and 2021; and (5) a comprehensive reassessment of the REMS in November 2021. Key themes across this period were consistent findings on safety, lack of ideological bias in staff scientists' recommendations, and the limited impact of political interference-to date-on the agency's oversight. Even as litigation, the COVID-19 public health emergency, and evolving practice standards changed the context of mifepristone regulation, the agency generally followed the policy approach favored by scientists at the agency. CONCLUSIONS AND RELEVANCE: FDA oversight of mifepristone, developed during key moments from 2011 to 2023, has been shaped by scientific evidence and a cautious regulatory approach led by scientists at the agency.	JAMA	2026 Jan 12	['Dilek S', 'Rosen J', 'Levashkevich A', 'Sharfstein JM', 'Alexander GC']	41525083
The effect of age-specific stay-at-home recommendation on healthcare utilization: Evidence from Finland's COVID-19 policy.	Postponements of non-acute care during the COVID-19 pandemic commonly raised concerns about harmful health consequences and increased healthcare costs, particularly among older individuals. Using nationwide register data from Finland, we employ a regression discontinuity design to examine the effect of an age-specific stay-at-home recommendation on healthcare utilization during the first wave of the pandemic. We find that the recommendation reduced non-acute visits, such as dental care, physiotherapy, and specialized care visits, but had no effect on acute care use, including emergency department visits or inpatient stays. The reductions in dental care use were partly compensated for after the lockdown was lifted, but not in other non-acute services. Additionally, we find indicative evidence of a slight increase in mortality during the three-months post-period after the lockdown. Our findings suggest that a Scandinavian-type social distancing recommendation targeting the elderly may reduce non-acute healthcare use in the short term, thereby temporarily alleviating pressure on healthcare resources during a pandemic. However, the absence of rebound in some non-acute services highlight potential unmet needs, which may imply longer-term risks of functional decline, preventable hospitalizations, and associated healthcare costs. These findings point to the importance of policies that ensure continued access to essential non-acute care for older populations.	The European journal of health economics : HEPAC : health economics in prevention and care	2026 Jan 12	['Laaksonen J', 'Kortelainen M', 'Salokangas H']	41525010
Understanding the Complexities of Peripartum Mood and Anxiety Disorders: A Qualitative Assessment of Current Issues in Management and Treatment.	OBJECTIVES: Perinatal Mood and Anxiety Disorders (PMADs) are an important public health issue that can have detrimental consequences to both the woman and the child. Despite our extensive understanding about the consequences and the availability of treatments, only 3% individuals with PMADs are treated to remission. Our aim was to understand the community's needs, barriers to accessing care for PMADs, and obtain feedback on current services. METHODS: In this study, we carried out qualitative interviews with 32 relevant individuals from varied backgrounds to understand the complexities related to PMADs and barriers to help-seeking. These narratives were transcribed, and an inductive thematic analysis approach was used to identify codes which were used in an iterative manner until data saturation was reached. RESULTS: Three broad themes were identified related to the key questions including prevalence, barriers to care and finally, service needs and home visiting programs. All participants acknowledged the high prevalence of PMADs, particularly during and after the COVID-19 pandemic. They identified multiple barriers related to individual attitudes, knowledge, and stigma; health systems knowledge, attitude and access; and social determinants including poverty, race, geography, childcare and insurance. They also identified societal and cultural attitudes and the role of social support systems in help-seeking. All participants acknowledged the importance of home-visiting programs in addressing the needs of peripartum individuals. CONCLUSION: Our findings provide an in-depth insight into the complex underpinnings of PMADs, particularly barriers to accessing care. This information, along with the positive feedback on home-visiting programs, can contribute to the development of innovative programs.	Maternal and child health journal	2026 Jan 12	['Ramanathan S', 'Mbuqe S', 'Sedykh A', 'Pal S', 'Keefe R']	41524892
Gender-specific Differences in Radiation Oncology Training during the COVID-19 Pandemic: A Subanalysis.	The COVID-19 pandemic significantly impacted cancer education across specialties. Radiation oncology, with its highly technical nature and multidisciplinary approach, faced unique challenges in maintaining training quality while adapting to pandemic restrictions. This subanalysis of a nationwide survey on oncological training quality during the pandemic examines gender-specific differences within radiation oncology specialist training. We analyzed survey responses from 85 radiation oncologists (58 females, 27 males) conducted between February and November 2022, focusing on workload changes, educational access, digital learning adaptation, and training quality assessment. Male radiation oncologists experienced more frequent work disruptions, including temporary departmental relocation (48.1% vs. 24.1%, p = 0.027) and significant work assignment changes (categories 4 + 5: 55.5% vs. 17.2%, p = 0.002). Males reported better access to digital learning alternatives, including e-learning platforms (37.0% vs. 8.6%, p = 0.001) and live online teaching (51.9% vs. 20.7%, p = 0.004), while females more frequently lacked alternatives for clinical training (55.2% vs. 25.9%, p = 0.012). Gender differences emerged in perceived negative training factors, with males more concerned about team meeting disruptions (categories 4 + 5: 51.8% vs. 41.4%, p = 0.022) and females about personal work absences (categories 4 + 5: 31.0% vs. 22.2%, p = 0.015). Despite these operational differences, overall training and work quality assessments remained comparable between genders. The pandemic affected male and female radiation oncologists through different pathways, with males experiencing more work deployment changes and better digital access, while females faced greater gaps in training alternatives. These findings highlight the importance of gender-sensitive crisis response planning to ensure equitable training opportunities during future health emergencies.	Journal of cancer education : the official journal of the American Association for Cancer Education	2026 Jan 12	['Besserer A', 'Adams A', 'Eckert L', 'Mutiara S', 'Trommer M']	41524845
GARDE-Chat: a scalable, open-source platform for building and deploying health chatbots.	BACKGROUND: Chatbots are increasingly used to deliver health education, patient engagement, and access to healthcare services. GARDE-Chat is an open-source platform designed to facilitate the development, deployment, and dissemination of chatbot-based digital health interventions across different domains and settings. MATERIALS AND METHODS: GARDE-Chat was developed through an iterative process informed by real-world use cases to guide prioritization of key features. The tool was developed as an open-source platform to promote collaboration, broad dissemination, and impact across research and clinical domains. RESULTS: GARDE-Chat's main features include (1) a visual authoring interface that allows non-programmers to design chatbots; (2) support for scripted, large language model (LLM)-based and hybrid chatbots; (3) capacity to share chatbots with researchers and institutions; (4) integration with external applications and data sources such as electronic health records and REDCap; (5) delivery via web browsers or text messaging; and (6) detailed audit log supporting analyses of chatbot user interactions. Since its first release in July 2022, GARDE-Chat has supported the development of chatbot-based interventions tested in multiple studies, including large pragmatic clinical trials addressing topics such as genetic testing, COVID-19 testing, tobacco cessation, and cancer screening. DISCUSSION: Ongoing challenges include the effort required for developing chatbot scripts, ensuring safe use of LLMs, and integrating with clinical systems. CONCLUSION: GARDE-Chat is a generalizable platform for creating, implementing, and disseminating scalable chatbot-based population health interventions. It has been validated in several studies, and it is available to researchers and healthcare systems through an open-source mechanism.	Journal of the American Medical Informatics Association : JAMIA	2026 Jan 10	['Del Fiol G', 'Borsato E', 'Bradshaw RL', 'Bian J', 'Woodbury A', 'Gauchel C', 'Eilbeck KL', 'Maxwell W', 'Ellis K', 'Madeo AC', 'Schlechter C', 'Kukhareva PV', 'Allen CG', 'Kean M', 'Elkin EB', 'Sharaf R', 'Ahsan MD', 'Frey M', 'Davis-Rivera L', 'Kohlmann WK', 'Wetter DW', 'Kaphingst KA', 'Kawamoto K']	41524720
Rationale and Design of the Roflumilast or Azithromycin to Prevent COPD Exacerbations Clinical Trial.	Chronic obstructive pulmonary disease (COPD) is a leading cause of hospitalization and death, particularly among patients with chronic bronchitis and frequent exacerbations. Results of placebo-controlled clinical trials indicate that treatment escalation with either long-term oral roflumilast or azithromycin can reduce COPD exacerbations. However, head-to-head comparative data from clinical trials are lacking, so the relative harms and benefits of these treatments are unclear. The RELIANCE (RofLumilast or Azithromycin to preveNt COPD Exacerbations) study is an investigator-initiated, multicenter, randomized, pragmatic clinical trial embedded in clinical practice to evaluate the effectiveness of treatment escalation with long-term azithromycin versus roflumilast in patients with COPD and chronic bronchitis. We solicited preferences from patients, clinicians, and other stakeholders during the design and implementation phases of the study, including feedback that informed modifications related to the COVID-19 pandemic. Eligibility criteria did not require assessments outside of clinical practice, with exclusions principally for safety. The composite endpoint of first all-cause hospitalization or death served as the primary outcome. Enrollment was initially through university-affiliated Clinical Centers but was subsequently expanded to recruit patients in community-based practices who might not otherwise participate in research. We employed human-centered design principles to improve the usability of study activities from the perspective of participants, study staff, and treating clinicians. The final study design offered the option for patients with COPD and chronic bronchitis at high-risk of hospitalization or death to be remotely consented, prescribed a medication according to the randomized treatment allocation, and complete virtual follow-up study visits in a decentralized clinical trial.	Chronic obstructive pulmonary diseases (Miami, Fla.)	2026 Jan 5	['Krishnan JA', 'Holbrook JT', 'Sugar EA', 'Albert R', 'Rennard S', 'Bracken N', 'He J', 'Bradley M', 'Coughlin K', 'Fuller CC', 'Hammill B', 'Malanga E', 'Malanga VM', 'Mannino D', 'Mularski RA', 'Musick H', 'Rommes J', 'DeLisa J', 'Toh S', 'Wise RA']	41524622
Systemic Lupus Erythematosus Mortality Among Decedents Aged >/=15 Years - United States, 2018-2023.	OBJECTIVE: Systemic lupus erythematosus (SLE) is a chronic autoimmune condition that can lead to death. To examine SLE as an underlying and contributing cause of mortality, CDC analyzed 2018-2023 mortality data for persons aged >/=15 years overall and by age, sex, race and ethnicity, and region. METHODS: Death certificate data for persons aged >/=15 years with any mention of SLE (ICD-10 code M32) were analyzed using CDC WONDER. We calculated age-adjusted death rates and assessed patterns by sex, age, race/ethnicity, and region. Underlying and contributing causes of death were evaluated using ranked cause-of-death lists and ICD sub-chapters. RESULTS: During 2018-2023, 14,936 deaths had any mention of SLE listed on the death certificate. Of these deaths, 6,414 (42.9%) listed SLE as the underlying cause. The age-adjusted SLE mortality rate per million population was greater among females (5.97) than males (1.16), non-Hispanic African American persons (10.70) versus persons of other non-Hispanic racial groups (range: 2.46 to 5.62), Hispanic versus non-Hispanic persons (3.98 versus 3.59), and in the South (4.37) versus other regions. Where SLE was listed as a contributing cause of death, the leading underlying causes were heart disease (0.93), cancer (0.56), and COVID-19 (0.51). The overall age-adjusted SLE mortality rates were significantly higher in 2020 and 2021 versus all other study years indicating the likely impact of COVID-19 pandemic on SLE mortality. CONCLUSION: Overall management of SLE and co-morbidities and infections in SLE patients, as well as interventions targeting groups (e.g., African American persons) disproportionately impacted by SLE, may reduce overall SLE mortality.	Arthritis care & research	2026 Jan 12	['Dawson D', 'Greenlund KJ', 'Barbour KE']	41524476
From COVID-19 to Hurricane Helene: Rethinking the Role of Nursing Students in Crisis Response.	Western Carolina University (WCU) nursing students, alongside faculty and licensed nurse volunteers, played pivotal roles in the community's response to Hurricane Helene's devastating impact. Drawing on WCU's experience, this article examines the successes and challenges of integrating nursing students into emergency response efforts and emphasizes the need for strengthened pre-planning and academic-practice partnerships, the implementation of readiness checklists, and the development of a centralized registry to clarify student roles and identify preceptors during emergencies.	North Carolina medical journal	2025 Apr 30	['Forcina J', 'Durbin T', 'Neligan K']	41524313
Impact of the COVID-19 pandemic on university performance: a retrospective follow-up study of the University of Split, Croatia.	BACKGROUND: The COVID-19 pandemic has affected the academic performance, financial health, scientific output, and student and staff mobility of higher education institutions globally. Here, we report on a retrospective analysis of the core activities at the University of Split, Croatia, from 2017 to 2023, with a focus on the pandemic's impact thereon. METHODS: Using interrupted time series analysis, we examined trends in student success, research output, financial indicators, and mobility patterns before, during, and after the pandemic, with a total of 34 indicators. RESULTS: We found no significant disruptions in academic performance, financial stability, or overall institutional operations at the university level, while the observed differences at the faculty level were unrelated to the COVID-19 pandemic. CONCLUSIONS: These findings indicate that, in the observed period, the University of Split did not experience measurable pandemic-related disruptions in key academic, financial, and operational indicators. They emphasise the importance of institutional preparedness, digital adaptability, and financial diversification to ensure the stability and resilience of higher education institutions in future crises.	Journal of global health	2026 Jan 12	['Hrga J', 'Mijatovic A', 'Ljutic D', 'Marusic A']	41524245
